Model,Features Creator,Intelligence AA-LCR (Long Context Reasoning)
Gemini 3 Pro Preview (high),Google,71%
GPT-5.2 (xhigh),OpenAI,73%
Gemini 3 Flash,Google,66%
Claude Opus 4.5,Anthropic,74%
GPT-5.1 (high),OpenAI,75%
GPT-5 Codex (high),OpenAI,69%
GPT-5 (high),OpenAI,76%
GLM-4.7,Z AI,64%
Kimi K2 Thinking,Kimi,66%
GPT-5.1 Codex (high),OpenAI,67%
GPT-5 (medium),OpenAI,73%
MiMo-V2-Flash,Xiaomi,63%
V3.2,DeepSeek,65%
o3,OpenAI,69%
Grok 4,xAI,68%
o3-pro,OpenAI,--
Gemini 3 Pro Preview (low),Google,67%
GPT-5 mini (high),OpenAI,68%
Grok 4.1 Fast,xAI,68%
-M2.1,MiniMax,59%
KAT-Coder-Pro V1,KwaiKAT,74%
Claude 4.5 Sonnet,Anthropic,66%
Nova 2.0 Pro Preview (medium),Amazon,54%
GPT-5.1 Codex mini (high),OpenAI,63%
GPT-5 (low),OpenAI,59%
-M2,MiniMax,61%
GPT-5 mini (medium),OpenAI,66%
gpt-oss-120B (high),OpenAI,51%
Grok 4 Fast,xAI,65%
Claude Opus 4.5,Anthropic,65%
Gemini 2.5 Pro,Google,66%
o4-mini (high),OpenAI,55%
Claude 4.1 Opus,Anthropic,66%
V3.2 Speciale,DeepSeek,59%
Nova 2.0 Lite (medium),Amazon,58%
V3.1 Terminus,DeepSeek,65%
Nova 2.0 Pro Preview (low),Amazon,62%
Qwen3 235B A22B 2507,Alibaba,67%
Doubao Seed Code,ByteDance Seed,65%
Grok 3 mini Reasoning (high),xAI,50%
Apriel-v1.6-15B-Thinker,ServiceNow,50%
V3.2 Exp,DeepSeek,69%
Claude 4 Sonnet,Anthropic,65%
Nova 2.0 Omni (medium),Amazon,54%
GLM-4.6,Z AI,54%
Qwen3 Max Thinking,Alibaba,58%
Qwen3 Max,Alibaba,47%
Claude 4.5 Haiku,Anthropic,70%
Gemini 3 Flash,Google,48%
Gemini 2.5 Flash (Sep),Google,64%
Qwen3 VL 235B A22B,Alibaba,59%
Qwen3 Next 80B A3B,Alibaba,60%
Claude 4 Opus,Anthropic,34%
Gemini 2.5 Pro (Mar),Google,--
V3.1,DeepSeek,53%
ERNIE 5.0 Thinking Preview,Baidu,7%
Gemini 2.5 Pro (May),Google,--
V3.2,DeepSeek,39%
gpt-oss-20B (high),OpenAI,31%
Magistral Medium 1.2,Mistral,51%
R1 0528,DeepSeek,55%
Qwen3 VL 32B,Alibaba,55%
Nemotron 3 Nano,NVIDIA,34%
