Model,Features Creator,Intelligence AA-LCR (Long Context Reasoning)
Apriel-v1.5-15B-Thinker,ServiceNow,20%
Apriel-v1.6-15B-Thinker,ServiceNow,50%
Arctic,Snowflake,--
Claude 2.0,Anthropic,--
Claude 2.1,Anthropic,--
Claude 3 Haiku,Anthropic,--
Claude 3 Opus,Anthropic,--
Claude 3 Sonnet,Anthropic,--
Claude 3.5 Haiku,Anthropic,--
Claude 3.5 Sonnet (June),Anthropic,--
Claude 3.5 Sonnet (Oct),Anthropic,--
Claude 3.7 Sonnet Thinking,Anthropic,61%
Claude 3.7 Sonnet Non-Thinking,Anthropic,48%
Claude 4 Opus Non-Thinking,Anthropic,36%
Claude 4 Opus Thinking,Anthropic,34%
Claude 4 Sonnet Non-Thinking,Anthropic,44%
Claude 4 Sonnet Thinking,Anthropic,65%
Claude 4.1 Opus Non-Thinking,Anthropic,--
Claude 4.1 Opus Thinking,Anthropic,66%
Claude 4.5 Haiku Thinking,Anthropic,70%
Claude 4.5 Haiku Non-Thinking,Anthropic,44%
Claude 4.5 Sonnet Thinking,Anthropic,66%
Claude 4.5 Sonnet Non-Thinking,Anthropic,51%
Claude Instant,Anthropic,--
Claude Opus 4.5 Non-Thinking,Anthropic,65%
Claude Opus 4.5 Thinking,Anthropic,74%
Cogito v2.1,Deep Cogito,22%
Command A,Cohere,18%
Command-R (Mar),Cohere,--
Command-R+ (Apr),Cohere,--
DBRX,Databricks,--
DeepHermes 3 - Llama-3.1 8B,Nous Research,--
DeepHermes 3 - Mistral 24B,Nous Research,--
DeepSeek Coder V2 Lite,DeepSeek,--
DeepSeek LLM 67B (V1),DeepSeek,--
DeepSeek R1 (Jan),DeepSeek,52%
DeepSeek R1 0528,DeepSeek,55%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,13%
DeepSeek R1 Distill Llama 70B,DeepSeek,11%
DeepSeek R1 Distill Llama 8B,DeepSeek,0%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,0%
DeepSeek R1 Distill Qwen 14B,DeepSeek,7%
DeepSeek R1 Distill Qwen 32B,DeepSeek,10%
DeepSeek V3 (Dec),DeepSeek,29%
DeepSeek V3 0324,DeepSeek,41%
DeepSeek V3.1 Non-Thinking,DeepSeek,45%
DeepSeek V3.1 Thinking,DeepSeek,53%
DeepSeek V3.1 Terminus Thinking,DeepSeek,65%
DeepSeek V3.1 Terminus Non-Thinking,DeepSeek,43%
DeepSeek V3.2 Non-Thinking,DeepSeek,39%
DeepSeek V3.2 Thinking,DeepSeek,65%
DeepSeek V3.2 Exp Thinking,DeepSeek,69%
DeepSeek V3.2 Exp Non-Thinking,DeepSeek,43%
DeepSeek V3.2 Speciale,DeepSeek,59%
DeepSeek-Coder-V2,DeepSeek,--
DeepSeek-OCR,DeepSeek,--
DeepSeek-V2,DeepSeek,--
DeepSeek-V2.5,DeepSeek,--
DeepSeek-V2.5 (Dec),DeepSeek,--
Devstral 2,Mistral,30%
Devstral Medium,Mistral,29%
Devstral Small,Mistral,17%
Devstral Small (May),Mistral,--
Devstral Small 2,Mistral,24%
Doubao Seed Code,ByteDance Seed,65%
ERNIE 4.5 300B A47B,Baidu,2%
ERNIE 5.0 Thinking Preview,Baidu,7%
EXAONE 4.0 32B Non-Thinking,LG AI Research,8%
EXAONE 4.0 32B Thinking,LG AI Research,14%
Exaone 4.0 1.2B Non-Thinking,LG AI Research,0%
Exaone 4.0 1.2B Thinking,LG AI Research,0%
GLM-4.5,Z AI,48%
GLM-4.5-Air,Z AI,44%
GLM-4.5V Thinking,Z AI,0%
GLM-4.5V Non-Thinking,Z AI,0%
GLM-4.6 Non-Thinking,Z AI,26%
GLM-4.6 Thinking,Z AI,54%
GLM-4.6V Thinking,Z AI,40%
GLM-4.6V Non-Thinking,Z AI,12%
GLM-4.7 Non-Thinking,Z AI,36%
GLM-4.7 Thinking,Z AI,64%
GPT-3.5 Turbo,OpenAI,--
